"subject" "activity" "timeBodyaccelerometer-mean()-X" "timeBodyaccelerometer-mean()-Y" "timeBodyaccelerometer-mean()-Z" "timeBodyaccelerometer-std()-X" "timeBodyaccelerometer-std()-Y" "timeBodyaccelerometer-std()-Z" "timeGravityaccelerometer-mean()-X" "timeGravityaccelerometer-mean()-Y" "timeGravityaccelerometer-mean()-Z" "timeGravityaccelerometer-std()-X" "timeGravityaccelerometer-std()-Y" "timeGravityaccelerometer-std()-Z" "timeBodyaccelerometerJerk-mean()-X" "timeBodyaccelerometerJerk-mean()-Y" "timeBodyaccelerometerJerk-mean()-Z" "timeBodyaccelerometerJerk-std()-X" "timeBodyaccelerometerJerk-std()-Y" "timeBodyaccelerometerJerk-std()-Z" "timeBodygyroscope-mean()-X" "timeBodygyroscope-mean()-Y" "timeBodygyroscope-mean()-Z" "timeBodygyroscope-std()-X" "timeBodygyroscope-std()-Y" "timeBodygyroscope-std()-Z" "timeBodygyroscopeJerk-mean()-X" "timeBodygyroscopeJerk-mean()-Y" "timeBodygyroscopeJerk-mean()-Z" "timeBodygyroscopeJerk-std()-X" "timeBodygyroscopeJerk-std()-Y" "timeBodygyroscopeJerk-std()-Z" "timeBodyaccelerometermagnitude-mean()" "timeBodyaccelerometermagnitude-std()" "timeGravityaccelerometermagnitude-mean()" "timeGravityaccelerometermagnitude-std()" "timeBodyaccelerometerJerkmagnitude-mean()" "timeBodyaccelerometerJerkmagnitude-std()" "timeBodygyroscopemagnitude-mean()" "timeBodygyroscopemagnitude-std()" "timeBodygyroscopeJerkmagnitude-mean()" "timeBodygyroscopeJerkmagnitude-std()" "frequencyBodyaccelerometer-mean()-X" "frequencyBodyaccelerometer-mean()-Y" "frequencyBodyaccelerometer-mean()-Z" "frequencyBodyaccelerometer-std()-X" "frequencyBodyaccelerometer-std()-Y" "frequencyBodyaccelerometer-std()-Z" "frequencyBodyaccelerometer-meanFreq()-X" "frequencyBodyaccelerometer-meanFreq()-Y" "frequencyBodyaccelerometer-meanFreq()-Z" "frequencyBodyaccelerometerJerk-mean()-X" "frequencyBodyaccelerometerJerk-mean()-Y" "frequencyBodyaccelerometerJerk-mean()-Z" "frequencyBodyaccelerometerJerk-std()-X" "frequencyBodyaccelerometerJerk-std()-Y" "frequencyBodyaccelerometerJerk-std()-Z" "frequencyBodyaccelerometerJerk-meanFreq()-X" "frequencyBodyaccelerometerJerk-meanFreq()-Y" "frequencyBodyaccelerometerJerk-meanFreq()-Z" "frequencyBodygyroscope-mean()-X" "frequencyBodygyroscope-mean()-Y" "frequencyBodygyroscope-mean()-Z" "frequencyBodygyroscope-std()-X" "frequencyBodygyroscope-std()-Y" "frequencyBodygyroscope-std()-Z" "frequencyBodygyroscope-meanFreq()-X" "frequencyBodygyroscope-meanFreq()-Y" "frequencyBodygyroscope-meanFreq()-Z" "frequencyBodyaccelerometermagnitude-mean()" "frequencyBodyaccelerometermagnitude-std()" "frequencyBodyaccelerometermagnitude-meanFreq()" "frequencybodyaccelerometerJerkmagnitude-mean()" "frequencybodyaccelerometerJerkmagnitude-std()" "frequencybodyaccelerometerJerkmagnitude-meanFreq()" "frequencybodygyroscopemagnitude-mean()" "frequencybodygyroscopemagnitude-std()" "frequencybodygyroscopemagnitude-meanFreq()" "frequencybodygyroscopeJerkmagnitude-mean()" "frequencybodygyroscopeJerkmagnitude-std()" "frequencybodygyroscopeJerkmagnitude-meanFreq()"
1 "WALKING" 0.275470723363158 -0.0163433104672632 -0.115085243084211 -0.359905638473684 -0.140910860572632 -0.298061213725263 0.908844430526316 -0.150580330421053 -0.1706307514 -0.97028259231579 -0.960720303210526 -0.939182527631579 0.0724434367984211 0.0186121825317895 0.00498341545263158 -0.338914600807368 -0.241217821268421 -0.579255400473684 -0.00377276084457895 -0.0595860748642105 0.0591867161147368 -0.549981778526316 -0.368509894119211 -0.450793136494737 -0.108688191402368 -0.0400669975231053 -0.0481810505436842 -0.487170455010526 -0.550481359473684 -0.584082096263158 -0.24474596191 -0.318544837357895 -0.24474596191 -0.318544837357895 -0.351170688015789 -0.313965636564947 -0.329053475426316 -0.406845791789474 -0.538455062647368 -0.569533060921053 -0.362629729047368 -0.176665981605053 -0.396630856364316 -0.362699572 -0.178215752545421 -0.302343782300526 -0.261489783184211 0.00591049798315789 -0.0486549813229474 -0.380373438432684 -0.3049979142039 -0.548202806963158 -0.355004709024105 -0.222849415466737 -0.608889365526316 -0.181023515104211 -0.36510394708 -0.273056453407895 -0.484611856217895 -0.403946629796316 -0.433659714052632 -0.573984026315789 -0.353756709262632 -0.509992020763158 -0.153680671712632 -0.155072524096842 -0.144506363677842 -0.284541191611053 -0.446834324516316 0.0685696194026316 -0.299547682337158 -0.337863075462632 0.125312801134526 -0.448580895808947 -0.484217860894737 0.0291326319155789 -0.562073355731579 -0.610633638421053 0.178102248136842
2 "WALKING" 0.264158059423729 -0.0142648968589831 -0.132867407932203 -0.509112149322034 -0.264297883727119 -0.438812094864407 0.716629057474576 0.0197051617966102 -0.0275521648474576 -0.967689550169492 -0.972519971864407 -0.906103103915254 0.0703593080559322 0.0130479667762712 -0.013509183570678 -0.433338795664407 -0.306351049262712 -0.672632217457627 -0.0197591999542373 -0.0806679621440678 0.0970519886084746 -0.630353225254237 -0.371697475018644 -0.550805269661017 -0.105734999688136 -0.0384717386084746 -0.0469311299813559 -0.473309857288136 -0.553684678135593 -0.593348114067797 -0.386316144455932 -0.445491124932203 -0.386316144455932 -0.445491124932203 -0.43724997479661 -0.421539316135593 -0.42494916879661 -0.438239388694915 -0.54271230440678 -0.558811238983051 -0.476951528033898 -0.289525208401695 -0.518171594237288 -0.52342328559322 -0.298307767364746 -0.442345699542373 -0.173164492238983 0.0606691031813559 0.0289731726277966 -0.469901872032373 -0.369959840943068 -0.645711988983051 -0.446168849576271 -0.283635945594576 -0.69842059559322 -0.058052090420339 -0.192801657169492 -0.126276946525424 -0.538811471338983 -0.41118246730678 -0.497914789830508 -0.660365479322034 -0.354038103132203 -0.611020690508475 0.00324234283050848 -0.0465765109983051 0.00568525477118644 -0.408340138657627 -0.558854833118644 0.0858763767118644 -0.403865363320339 -0.448835313237288 0.192757081291525 -0.461793855554237 -0.521182229050847 0.106867567355932 -0.553564061694915 -0.597117046271186 0.160519488881356
3 "WALKING" 0.270996761310345 -0.0189395607306897 -0.110259124739655 -0.164869549535345 -0.071122292694569 -0.317815067425 0.917164411982759 -0.23276814587931 -0.18213766812931 -0.964339940086207 -0.947886369224138 -0.933444646206897 0.0980143587287069 0.00958773683991379 -0.00992268295431034 -0.252912474560345 -0.202267121730172 -0.566939820775862 0.0113538014396552 -0.0917939089592931 0.0491987227284483 -0.509700934991379 -0.530148484396552 -0.423204825508621 -0.116197949360345 -0.0438955610537069 -0.0512363968989655 -0.484433260517241 -0.641128944482759 -0.563394284051724 -0.10640035334431 -0.191212981985345 -0.10640035334431 -0.191212981985345 -0.299560740948276 -0.236624950412931 -0.356131844224138 -0.489535300775862 -0.58599268637931 -0.612244712844828 -0.214715106345086 -0.121613582212931 -0.392319008836207 -0.149765863839655 -0.105606806694828 -0.333541297640517 -0.383824026456034 -0.00354502478448276 -0.0549971955018103 -0.314471376198276 -0.266932326146552 -0.544031376982759 -0.257249990787069 -0.185884175414741 -0.588540917413793 -0.383785602586207 -0.389929887948276 -0.419911790258621 -0.413527910478448 -0.535265323189655 -0.399234910948276 -0.542800652956897 -0.531387544224138 -0.486385428663793 -0.117501756337931 -0.0913653738176724 -0.147371653159914 -0.189201312668966 -0.319899876688793 -9.19219519827591e-05 -0.248879306551724 -0.229017720249655 -0.0945489872103448 -0.5250945525 -0.555058953275862 0.0537452168681034 -0.625508614051724 -0.62540997887931 0.086401059862069
4 "WALKING" 0.260805333916667 -0.00733665520833333 -0.100034945433333 -0.972286534 -0.885022703833333 -0.9053274015 0.6715840945 0.205996215453 0.2104310521 -0.963593372166667 -0.929706275666667 -0.925239472166667 0.07486456095 0.0121503374783333 -0.00510973502583333 -0.9740099835 -0.9555680405 -0.9746787985 -0.0355208049741667 -0.0744968870166667 0.101120601979333 -0.954124506 -0.9506428325 -0.926933062833333 -0.104111806433333 -0.0373173096916667 -0.0595508578628333 -0.96868798 -0.9797693675 -0.973051001333333 -0.9171987135 -0.899986675666667 -0.9171987135 -0.899986675666667 -0.970087738 -0.9665181755 -0.916933623333333 -0.923558531966667 -0.977855897666667 -0.975253074333333 -0.9708023295 -0.9110645645 -0.935665028166667 -0.9731162965 -0.8802334785 -0.898007074 -0.0152531219883333 -0.0214512582216667 0.09774988995 -0.974248694833333 -0.956046418666667 -0.970713903333333 -0.976147072333333 -0.9583625745 -0.977334032166667 0.167943417666667 -0.154116642861667 -0.00222204038716667 -0.949392589666667 -0.959313067666667 -0.933997997333333 -0.956122861833333 -0.946656009 -0.931565826 -0.0657455009 -0.156556585128333 -0.034752477325 -0.923187421166667 -0.904454046833333 0.0761898296315 -0.966055887333333 -0.966200001166667 0.257126241098333 -0.944715868333333 -0.923755903966667 -0.153805975716667 -0.976719281666667 -0.974789405333333 0.0133461858883333
5 "WALKING" 0.2760402925 -0.0175773517330625 -0.110753205276786 -0.477926267517857 -0.257319015305804 -0.598110454839286 0.400301058392857 0.1263075136875 0.22642401873125 -0.972995361160714 -0.970038718660714 -0.969104993482143 0.0813371033928571 -0.00804375417498643 -0.00206278146983928 -0.455798760973214 -0.360099338170536 -0.689827481517857 -0.0419679428338393 -0.0746419763455357 0.0910823956785714 -0.58044665925 -0.610250755 -0.499641644526786 -0.0871767195491071 -0.0435639194223214 -0.0533536072035714 -0.491491061160714 -0.692989197767857 -0.453820268152679 -0.395456676361607 -0.532237024526786 -0.395456676361607 -0.532237024526786 -0.460111467635714 -0.466590919330357 -0.490406644978571 -0.576520219928571 -0.597088003214286 -0.634694186964286 -0.467852509758929 -0.292273302630536 -0.612889840089286 -0.483186209541964 -0.286561248596429 -0.622749052678571 -0.311139413776964 0.111221218859107 0.160785185925893 -0.487705634009821 -0.41763835587625 -0.671365909821429 -0.471274525390179 -0.340524146586607 -0.706601605089286 -0.192576570401786 -0.30874221886875 -0.144428540710714 -0.4805157751875 -0.622556745357143 -0.438812323585893 -0.612977020714286 -0.606308154553571 -0.568006759285714 0.0534902388589286 -0.105682728627679 0.0641860854044643 -0.476887050955089 -0.640421015714286 0.160634737978571 -0.453950323691964 -0.487192271128571 0.0949686587026786 -0.590806834928571 -0.642368990794643 0.18515029633125 -0.662013163125 -0.628911093660714 0.0705955506866071
6 "WALKING" 0.282190273596491 -0.0152626735067544 -0.109368369666667 -0.642746578859649 -0.396244889607018 -0.733732402631579 0.938816940614035 -0.207849725631579 -0.0633846166754386 -0.983397076754386 -0.970661317807018 -0.962303729122807 0.0718628035122807 -0.00259943998744561 -0.00548082689596491 -0.559848104257895 -0.484291010850877 -0.780991726666667 -0.0231339203052632 -0.0659060593537719 0.0762614251394737 -0.711482399298246 -0.650405272982456 -0.675197613157895 -0.0946632228649123 -0.0386813984254386 -0.0513232799192982 -0.584095822473684 -0.701476479385965 -0.576235489713158 -0.569092661991228 -0.618223283421053 -0.569092661991228 -0.618223283421053 -0.589765238991228 -0.528154319701754 -0.620185646438597 -0.663776953385965 -0.654244289289474 -0.676037005280702 -0.587588719991228 -0.410267580934211 -0.735894183859649 -0.667487016315789 -0.427351796459386 -0.755254639912281 -0.0953807181315789 0.0506315990438597 0.111306916332456 -0.569013872157895 -0.525965856519298 -0.762708095 -0.590302340668421 -0.473563122665789 -0.797825382368421 0.00322839723859649 -0.277348227582456 -0.0694606732351754 -0.607038249038596 -0.657574178947368 -0.585979147612281 -0.74662626 -0.649422452192982 -0.741044910701754 0.0109449390119298 -0.0988447924692983 0.108692800578947 -0.58748918277193 -0.696711319473684 0.168695118585088 -0.519977419472807 -0.541307667254386 0.155934174439474 -0.650589079666667 -0.736561978421053 0.105850860669298 -0.676790717675439 -0.698197569030702 0.147185480246228
7 "WALKING" 0.270315701752632 -0.0216625382132456 -0.113502861892982 -0.12386280177193 0.0640785433850877 -0.0135076606508772 0.897323820701754 -0.245990853684211 -0.135982505306833 -0.959301162719298 -0.954337226666667 -0.932323148333333 0.0997810758631579 0.0236626075675439 -0.0115125223719298 -0.239546131453509 -0.0668092284087719 -0.305388523251579 0.0248935816370175 -0.115846899402632 0.0365829484701754 -0.438580647070175 -0.3497704715 -0.25976358967386 -0.122621833305491 -0.0342255691627193 -0.0527376347085965 -0.32803781402807 -0.394124042035965 -0.463212358421053 0.0338139563684211 -0.131133495385965 0.0338139563684211 -0.131133495385965 -0.173709146250877 -0.0982479947978947 -0.220027037753509 -0.251958789438597 -0.410644516298246 -0.362888103228947 -0.189451873715789 0.037961812727193 -0.102839403156404 -0.101065541561404 0.00860685622894737 -0.0436748807404386 -0.339411949394737 0.0516529683219298 0.0757220239763158 -0.275155011612281 -0.105647864193596 -0.257446243779649 -0.270676506377193 -0.0899482284580702 -0.351934809603509 -0.25534519022807 -0.297751538580702 -0.26529980052193 -0.296822641403509 -0.305932392665789 -0.259163926078947 -0.485879690307018 -0.38502089977193 -0.330711686240351 -0.0396392647692982 0.0845021774879825 -0.0718075045157895 -0.0956610785438596 -0.288030348763158 0.149268999830702 -0.0786576478308772 -0.133690655689474 0.0573490019315789 -0.296366023786579 -0.354792354149123 0.106359795759649 -0.381487073896228 -0.387799459581579 0.133618348286842
8 "WALKING" 0.273341588739583 -0.0182426606548125 -0.10733111939375 -0.198423394454167 0.120278687447917 -0.20642241734375 0.800432910416667 -0.158573933333333 -0.0462281787101771 -0.9711088871875 -0.9610539390625 -0.9532864303125 0.0734765347105208 0.010329858984375 -0.00430549722895833 -0.25250311673125 0.0415574313302083 -0.379814930898958 -0.002836320255 -0.0854035001185417 0.0690346372729167 -0.335431903085417 -0.279956491895833 -0.229556784828125 -0.122374358354167 -0.041602200446875 -0.06680337893625 -0.332957738802083 -0.420534499645833 -0.415517549697917 -0.039621390990625 -0.23400890648875 -0.039621390990625 -0.23400890648875 -0.137693345583125 -0.184617124576042 -0.142476747561042 -0.270949600269792 -0.373985177641667 -0.448692159065625 -0.258981381178125 0.0943655106666667 -0.27064119631875 -0.177676310446875 0.060882053065625 -0.23553506269375 -0.356807515583333 0.0759306522354167 0.171345928614583 -0.304350217710417 -0.06105911363125 -0.364711532270833 -0.266068787278125 0.0813660556607083 -0.395545443455208 -0.26633306790625 -0.294943523052083 -0.18830082215 -0.2240870094875 -0.312739580416667 -0.23111599246875 -0.37343669484375 -0.267132429322917 -0.301535746052083 -0.107016452862292 -0.0641319772876042 -0.070729984925 -0.151542703207292 -0.405440729045833 0.225204872833333 -0.156891560830208 -0.231082425164583 0.187341952760417 -0.310922145094792 -0.370708276780208 0.151695592587188 -0.4553586225625 -0.483995034683333 0.272379254195833
9 "WALKING" 0.284610860192308 -0.00913231252115385 -0.106184504826923 -0.796684451538462 -0.662451512657692 -0.756775782884615 0.9552721225 -0.0808988692576923 0.113480204909615 -0.974106403461538 -0.923481130769231 -0.907696841730769 0.0547936224807692 0.000528044167307692 -0.0297096499873077 -0.824823700384615 -0.780520869634615 -0.907989964038462 -0.0189889715109615 -0.0711486613173077 0.066506124875 -0.814270573653846 -0.826262844615385 -0.777959751096154 -0.106902146730769 -0.0387227094230769 -0.0527082359384615 -0.812003360711538 -0.895194684615385 -0.808173402903846 -0.722002655939423 -0.742311719615385 -0.722002655939423 -0.742311719615385 -0.823812627307692 -0.828690227307692 -0.757425024507692 -0.759328387692308 -0.857797760384615 -0.872974271538462 -0.815823472769231 -0.706307082692308 -0.830772650384615 -0.790218678886539 -0.662870020326923 -0.740446282692308 -0.104390586811538 -0.0533156247826923 -0.0860840238153846 -0.836758323461538 -0.795193164615385 -0.899302545192308 -0.828243049615385 -0.779435799711538 -0.915372549615385 0.04235185855 -0.240849317057692 -0.107505280346154 -0.780843574553846 -0.855899291923077 -0.758702378519231 -0.827250880384615 -0.812098833269231 -0.806081793461538 -0.150938810246154 -0.185337754790385 -0.112316625701923 -0.767566774038462 -0.770403354230769 -0.0291020562244231 -0.818380531923077 -0.842954106538462 0.167184407744231 -0.802060015576923 -0.776194854423077 -0.152109970423077 -0.879400915576923 -0.873744734807692 -0.00291328444807692
10 "WALKING" 0.272547425471698 -0.0219039016041509 -0.119449471415094 -0.475242037390566 -0.314691691716981 -0.647842771886792 0.93399688754717 -0.272895162075472 0.0434029854716981 -0.974297629811321 -0.942816613962264 -0.938569147358491 0.101225818245283 -0.000597793073207547 0.00168750803207547 -0.55435319154717 -0.477659096867925 -0.81407499509434 -0.0302174977698113 -0.0569093980415094 0.0706468516373585 -0.637868273396226 -0.656739421509434 -0.54101620425283 -0.0902701355571698 -0.0424833073613208 -0.0602377226981132 -0.632907693396226 -0.774358200943396 -0.570076822471698 -0.424659565645094 -0.484146185624528 -0.424659565645094 -0.484146185624528 -0.579767994811321 -0.568253762886792 -0.534838243075472 -0.583567532716981 -0.696444627735849 -0.742733686037736 -0.515894982716981 -0.374708185586792 -0.711536351886792 -0.461088228494528 -0.327973921192453 -0.641952527169811 -0.22218268435283 -0.0922266100943396 -0.130201132830189 -0.589592837735849 -0.518349520543396 -0.798170340377358 -0.557648510660377 -0.468323272692453 -0.828511435660377 -0.149935054188679 -0.408433207433962 -0.249471249603774 -0.555623987509434 -0.672047614339623 -0.472534159516981 -0.665021328301887 -0.650490479622642 -0.608584746603774 -0.179989140528868 -0.242834358832075 -0.0379125792226415 -0.506477809864906 -0.552235267584906 -0.0517696585471698 -0.562258395490566 -0.579936542735849 0.0837986003188679 -0.614987429056604 -0.634215535283019 -0.106537337515849 -0.748906393773585 -0.753639972264151 0.00843721101320755
